muscle,pop,coxnx,coxhx,hoadnx,hoadhx,csnx,cshx,hknx,hkhx,pknx,pkhx,ldhnx,ldhhx
masseter,me,41.862,44.732,52.414,52.974,41.729,47.055,7.928,7.831,70.626,89.445,276.314,342.375
plantaris,me,24.67,47.623,30.683,54.531,37.025,59.589,5.444,7.163,112.836,127.508,325.517,502.519
rectusfemoris,me,32.632,32.596,70.268,54.63,42.672,38.009,5.725,5.562,119.738,106.397,672.282,599.144
pecmajor,me,22.573,31.388,74.762,72.51,6.628,6.719,5.894,6.429,114.686,119.115,592.485,562.661
intercostal,me,54.224,42.976,67.884,72.319,6.628,24.748,8.946,9.712,126.903,127.255,662.132,692.49
diaphragm,me,83.707,76.32,131.732,149.649,33.178,33.467,14.128,14.499,75.754,74.635,328.512,382.033
semitendinosus,me,34.024,32.439,40.516,40.249,12.899,12.332,4.482,4.359,161.483,164.22,633.94,619.931
glutmax,me,27.205,33.341,55.886,58.389,42.862,46.954,5.255,5.398,184.872,141.843,757.189,643.395
lowertrap,me,25.46,25.812,49.734,50.397,33.229,26.588,8.061,6.937,97.088,94.057,442.565,429.149
soleus,me,36.809,37.874,40.567,46.454,33.351,37.605,,,83.217,92.013,201.951,248.338
bicepsfemoris,me,29.292,23.508,48.228,54.78,45.828,45.381,5.861,6.408,144.798,142.807,656.281,611.077
vastusmedialis,me,28.182,38.572,55.302,57.347,51.826,59.082,6.982,6.131,118.624,97.429,376.69,365.565
bicepsbrachii,me,37.453,26.627,54.678,40.968,62.631,46.19,6.741,5.579,108.158,83.039,366.579,323.675
medialtrapezius,me,36.173,28.881,88.239,80.585,42.283,49.92,6.984,7.269,137.619,109.386,461.091,354.359
gastroc,me,21.522,24.276,35.634,39.221,32.689,34.989,4.965,5.963,148.378,151.072,475.095,474.999
erectorspinae,me,37.917,37.489,27.042,33.065,9.162,12.608,,,88.239,127.526,174.925,281.95
edl,me,40.132,27.305,15.363,14.855,4.977,9.06,,,72.617,70.414,52.414,85.762
vastuslateralis,me,16.494,22.077,10.284,11.305,5.271,6.797,5.02,5.403,123.234,105.563,395.362,373.518
tibialisanterios,me,29.046,53.104,18.846,34.226,25.574,24.294,,,121.35,117.329,191.368,193.268
triceps,me,43.054,43.012,32.461,17.149,16.9,10.806,,,103.344,90.801,163.94,110.377
masseter,ln,48.446,46.561,54.895,44.467,51.482,36.702,8.369,7.668,88.18,83.3,391.803,344.75
plantaris,ln,25.72,22.682,29.919,26.644,39.974,34.516,4.321,4.193,132.951,120.804,514.785,384.827
rectusfemoris,ln,27.63,26.373,49.239,44.903,33.471,31.063,4.111,3.994,155.045,127.636,728.564,687.912
pecmajor,ln,24.808,32.212,52.832,64.722,5.583,7.019,5.027,5.258,130.3,129.577,706.411,650.793
intercostal,ln,41.509,31.585,60.958,53.366,20.374,19.807,8.794,7.595,151.127,146.135,739.79,693.31
diaphragm,ln,58.552,61.13,112.066,115.589,30.113,29.956,11.275,12.205,80.196,82.538,389.717,384.652
semitendinosus,ln,32.285,31.382,32.887,31.636,12.135,10.982,3.823,3.09,182.061,170.045,718.193,699.813
glutmax,ln,26.074,20.022,41.027,30.427,41.441,33.14,4.623,3.801,153.568,162.567,778.368,757.276
lowertrap,ln,31.055,29.693,50.145,58.612,30.78,30.657,6.06,7.097,108.452,109.937,578.238,532.942
soleus,ln,31.143,19.95,39.71,30.453,32.181,31.129,,,87.964,78.143,194.883,189.112
bicepsfemoris,ln,17.327,23.84,51.187,46.093,40.839,40.495,4.465,5.098,155.183,158.827,724.664,686.353
vastusmedialis,ln,22.407,23.5,38.265,28.807,35.132,37.29,4.774,4.18,134.245,114.064,396.661,478.264
bicepsbrachii,ln,27.616,29.727,40.007,40.448,50.912,55.201,5.635,5.162,108.45,117.346,413.021,444.46
medialtrapezius,ln,27.14,34.267,51.975,75.007,41.525,45.45,6.993,7.011,119.815,130.073,530.19,457.674
gastroc,ln,17.665,21.356,30.388,30.496,20.667,19.866,4.656,4.965,151.776,153.854,586.318,519.939
erectorspinae,ln,16.741,29.712,18.56,25.331,8.665,15.048,,,135.178,137.259,300.721,282.188
edl,ln,24.412,36.52,15.623,12.612,10.588,9.687,,,113.42,85.594,106.778,87.667
vastuslateralis,ln,20.733,19.299,8.974,8.491,5.463,5.754,3.927,2.652,141.32,125.299,521.885,533.817
tibialisanterios,ln,34.64,32.797,23.073,31.717,18.157,18.272,,,107.842,126.88,161.781,209.447
triceps,ln,42.71,31.059,12.742,16.707,8.002,10.994,,,107.532,139.931,127.868,243.768
