muscle,pop,mmnx,mmhx,absolute values,,,,,,,,muscle,ggpop,ggnx,gghx,muscle mass divided by body mass 
Rectus femoris ,me,0.1759,0.074142857,,,,,,,,,Rectus femoris ,me,0.008405811,0.00347599,
pec major,me,0.07386,0.075185714,,,,,,,,,pec major,me,0.00352958,0.003524881,
Diaphragm ,me,0.0729,0.071457143,,,,,,,,,Diaphragm ,me,0.003483704,0.003350077,
Semitendinosus ,me,0.105,0.105014286,,,,,,,,,Semitendinosus ,me,0.005017681,0.004923314,
glutmax,me,0.06768,0.089928571,,,,,,,,,glutmax,me,0.003234254,0.004216061,
Soleus,me,0.01278,0.004885714,,,,,,,,,Soleus,me,0.000610724,0.000229054,
Biceps femoris ,me,0.12972,0.1195,,,,,,,,,Biceps femoris ,me,0.006198987,0.005602438,
Vastus medialis ,me,0.01782,0.0191,,,,,,,,,Vastus medialis ,me,0.000851572,0.000895452,
Biceps brachii,me,0.02332,0.017771429,,,,,,,,,Biceps brachii,me,0.001114403,0.000833166,
Medial trapezius ,me,0.05458,0.048685714,,,,,,,,,Medial trapezius ,me,0.002608239,0.002282499,
Grastroc,me,0.08358,0.079428571,,,,,,,,,Grastroc,me,0.003994074,0.003723796,
Erecor spinae ,me,0.06272,0.1041,,,,,,,,,Erecor spinae ,me,0.002997228,0.00488045,
EDL ,me,0.0052,0.007457143,,,,,,,,,EDL ,me,0.000248495,0.000349608,
Vastus lateris ,me,0.04978,0.0713,,,,,,,,,Vastus lateris ,me,0.002378859,0.00334271,
Tibialis anterior ,me,0.03132,0.031771429,,,,,,,,,Tibialis anterior ,me,0.001496703,0.001489518,
Triceps ,me,0.07256,0.068442857,,,,,,,,,Triceps ,me,0.003467457,0.00320876,
Rectus femoris ,ln,0.06054,0.061414286,,,,,,,,,Rectus femoris ,ln,0.003060049,0.003439035,
pec major,ln,0.05996,0.056742857,,,,,,,,,pec major,ln,0.003030732,0.003177447,
Diaphragm ,ln,0.06098,0.074328571,,,,,,,,,Diaphragm ,ln,0.003082289,0.0041622,
Semitendinosus ,ln,0.09862,0.107142857,,,,,,,,,Semitendinosus ,ln,0.004984836,0.005999712,
glutmax,ln,0.06446,0.078171429,,,,,,,,,glutmax,ln,0.003258188,0.00437739,
Soleus,ln,0.00416,0.004342857,,,,,,,,,Soleus,ln,0.000210271,0.000243188,
Biceps femoris ,ln,0.10342,0.099528571,,,,,,,,,Biceps femoris ,ln,0.005227457,0.005573332,
Vastus medialis ,ln,0.01608,0.020683333,,,,,,,,,Vastus medialis ,ln,0.000812778,0.001158211,
Biceps brachii,ln,0.01936,0.017257143,,,,,,,,,Biceps brachii,ln,0.000978569,0.000966354,
Medial trapezius ,ln,0.05008,0.04685,,,,,,,,,Medial trapezius ,ln,0.002531338,0.002623474,
Grastroc,ln,0.07454,0.0713,,,,,,,,,Grastroc,ln,0.003767691,0.003992608,
Erecor spinae ,ln,0.06106,0.077728571,,,,,,,,,Erecor spinae ,ln,0.003086332,0.004352591,
EDL ,ln,0.02462,0.005814286,,,,,,,,,EDL ,ln,0.00124444,0.000325584,
Vastus lateris ,ln,0.05376,0.055357143,,,,,,,,,Vastus lateris ,ln,0.002717347,0.003099851,
Tibialis anterior ,ln,0.02796,0.029442857,,,,,,,,,Tibialis anterior ,ln,0.001413263,0.001648721,
Triceps ,ln,0.06146,0.062442857,,,,,,,,,Triceps ,ln,0.003106551,0.003496632,
