id,pop,acc,fam,sex,bodymass,pc1,pc2,pc3
ln_f1_249_1e,ln,hx,f,f,19.98,-1.894,2.106,0.434
ln_f1_249_2f,ln,hx,f,f,20.47,0.064,-1.256,-0.245
ln_f1_242_2b,ln,hx,a,m,17.94,-5.238,4.58,1.306
ln_f1_242_3c,ln,hx,a,m,19.23,-2.742,-0.617,-4.689
ln_f1_250_l,ln,hx,g,m,19.3,1.665,-3.454,4.446
ln_f1_250_o,ln,hx,g,f,14.04,-9.124,2.287,0.53
ln_f1_250_m,ln,hx,g,f,14.05,-8.885,-4.84,-3.885
me_f1_244_a,me,hx,b,f,20.18,4.418,1.911,0.367
me_f1_247_h,me,hx,e,f,17.17,1.369,-3.807,2.073
me_f1_247_g,me,hx,e,f,19.14,0.389,6.434,-0.089
me_f1_246_e,me,hx,d,m,23.46,7.034,-3.44,1.767
me_f1_246_f,me,hx,d,m,21.19,4.908,2.794,2.611
me_f1_245_h,me,hx,c,m,24.55,5.604,-6.393,-1.113
me_f1_245_i,me,hx,c,m,23.62,6.924,1.164,-0.833
ln_f1_250_x,ln,nx,g,m,26.99,-2.118,2.702,1.762
ln_f1_250_y,ln,nx,g,m,18.8,1.429,-0.423,3.565
ln_f1_250_z,ln,nx,g,m,18.55,-4.429,-1.654,2.541
ln_f1_250_al,ln,nx,g,f,19.78,-6.193,-2.209,-0.392
ln_f1_250_ab,ln,nx,g,f,14.8,-4.37,0.587,5.074
me_f1_247_u,me,nx,e,m,22.05,0.971,0.828,1.444
me_f1_247_v,me,nx,e,m,19.8,2.609,-2.431,-3.1
me_f1_245_n,me,nx,c,f,26.52,7.704,3.682,-2.389
me_f1_246_q,me,nx,d,f,17.89,1.494,3.195,-7.431
me_f1_246_r,me,nx,d,f,18.37,-1.58,-1.745,-3.754
