id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,pk
ln_f1_249_1e,ln,hx,f,f,19.98,14.819,60.424,34.905,194.724,70.863
ln_f1_249_2f,ln,hx,f,f,20.47,42.035,34.082,48.518,173.781,103.975
ln_f1_242_2b,ln,hx,a,m,17.94,13.627,18.542,21.522,95.101,39.138
ln_f1_242_3c,ln,hx,a,m,19.23,15.498,30.222,29.622,74.522,62.154
ln_f1_250_l,ln,hx,g,m,19.3,26.069,43.287,44.469,294.823,106.303
ln_f1_250_o,ln,hx,g,f,14.04,15.043,7.024,18.005,80.931,40.277
ln_f1_250_m,ln,hx,g,f,14.05,12.558,19.590,20.858,409.898,124.288
me_f1_244_a,me,hx,b,f,20.18,27.650,49.513,34.772,178.865,86.055
me_f1_247_h,me,hx,e,f,17.17,48.437,62.591,55.797,285.018,103.349
me_f1_247_g,me,hx,e,f,19.14,,,,,
me_f1_246_e,me,hx,d,m,23.46,36.243,50.526,38.661,217.486,86.462
me_f1_246_f,me,hx,d,m,21.19,38.088,32.344,23.452,168.142,81.362
me_f1_245_h,me,hx,c,m,24.55,41.743,46.641,37.939,351.312,107.814
me_f1_245_i,me,hx,c,m,23.62,35.080,37.107,35.012,289.202,87.038
ln_f1_250_x,ln,nx,g,m,26.99,27.460,52.880,36.604,130.076,68.760
ln_f1_250_y,ln,nx,g,m,18.8,32.505,33.511,25.975,189.527,72.586
ln_f1_250_z,ln,nx,g,m,18.55,18.002,50.480,32.531,234.332,122.439
ln_f1_250_al,ln,nx,g,f,19.78,45.083,38.729,36.819,167.978,109.219
ln_f1_250_ab,ln,nx,g,f,14.8,32.663,22.950,28.978,252.504,66.814
me_f1_247_u,me,nx,e,m,22.05,38.694,33.682,29.169,136.788,79.786
me_f1_247_v,me,nx,e,m,19.8,43.367,61.534,47.646,283.598,102.433
me_f1_245_n,me,nx,c,f,26.52,29.172,30.663,25.925,151.149,81.774
me_f1_246_q,me,nx,d,f,17.89,34.607,27.374,35.092,165.821,70.365
me_f1_246_r,me,nx,d,f,18.37,38.206,49.582,28.924,272.399,81.728
