id,pop,acc,fam,sex,bodymass,cox,hoad,cs,ldh,hk,pk
ln_f1_249_1e,ln,hx,f,f,19.98,32.874,36.886,51.649,578.967,4.749,117.121
ln_f1_249_2f,ln,hx,f,f,20.47,18.810,24.431,30.457,562.415,4.188,110.915
ln_f1_242_2b,ln,hx,a,m,17.94,,,,,,
ln_f1_242_3c,ln,hx,a,m,19.23,17.496,22.990,34.359,187.223,5.205,96.767
ln_f1_250_l,ln,hx,g,m,19.3,26.043,32.706,32.833,313.151,3.435,92.769
ln_f1_250_o,ln,hx,g,f,14.04,27.941,32.676,42.967,616.280,3.465,164.420
ln_f1_250_m,ln,hx,g,f,14.05,17.838,23.154,31.476,611.551,4.036,102.394
me_f1_244_a,me,hx,b,f,20.18,31.991,52.900,55.764,317.135,5.606,87.142
me_f1_247_h,me,hx,e,f,17.17,35.718,60.496,54.849,463.061,5.431,102.539
me_f1_247_g,me,hx,e,f,19.14,35.541,39.844,38.090,289.011,5.153,100.519
me_f1_246_e,me,hx,d,m,23.46,34.464,59.449,67.038,260.507,4.568,77.097
me_f1_246_f,me,hx,d,m,21.19,46.818,75.320,59.733,503.016,10.014,126.629
me_f1_245_h,me,hx,c,m,24.55,36.241,50.025,71.215,337.801,6.069,87.434
me_f1_245_i,me,hx,c,m,23.62,49.231,63.395,66.885,388.426,6.075,100.647
ln_f1_250_x,ln,nx,g,m,26.99,28.572,57.965,51.656,395.745,6.533,129.823
ln_f1_250_y,ln,nx,g,m,18.8,20.151,40.702,38.191,411.699,6.588,123.086
ln_f1_250_z,ln,nx,g,m,18.55,23.588,29.647,31.875,363.776,3.071,129.530
ln_f1_250_al,ln,nx,g,f,19.78,26.108,23.499,25.367,343.794,3.383,114.308
ln_f1_250_ab,ln,nx,g,f,14.8,13.616,39.513,28.570,468.292,4.293,174.478
me_f1_247_u,me,nx,e,m,22.05,33.455,64.109,70.788,344.686,8.695,132.328
me_f1_247_v,me,nx,e,m,19.8,26.553,59.323,51.580,387.751,6.807,107.634
me_f1_245_n,me,nx,c,f,26.52,24.306,64.452,60.962,368.981,8.467,101.626
me_f1_246_q,me,nx,d,f,17.89,30.741,42.760,46.651,353.781,6.869,107.015
me_f1_246_r,me,nx,d,f,18.37,25.856,45.868,29.150,428.251,4.070,144.517
